tic_name            period       e_period     first_eclipse
tic00355304493     3.1276338     0.0001960     3544.956993
tic00355156860     1.9914179     0.0000098     3545.201593
tic00355156081     0.7794984     0.0000113     3544.770274
tic00355152971     8.0768133     0.0011120     3547.557533
tic00355152640    22.0337000     0.1233000     3554.362000
tic00355090509     4.2601480     0.0000983     3548.279347
tic00355080341     1.1629201     0.0000032     3544.333359
tic00354996263     2.0997000     0.0133000     3545.471000
tic00350954272     3.3238128     0.0001984     3356.398934
tic00350954265     3.3229011     0.0003371     3356.457522
tic00350932561     0.7128083     0.0000010     3354.398147
tic00350858706     0.5584593     0.0000011     3354.724391
tic00350844139     0.5705684     0.0000076     3354.352912
tic00350743714     7.7571742     0.0007447     3357.265930
tic00350742160     9.3288388     0.0001280     3365.678272
tic00350712004     2.6403820     0.0000727     3390.030072
tic00350656825     2.9609241     0.0000051     3354.893645
tic00350622185     1.1685725     0.0000022     3355.354406
tic00350622175     1.1685741     0.0000035     3355.359403
tic00350561484    29.5486996     0.0121922     3441.818558
tic00350559951    25.8588350     0.0007817     3446.338978
tic00350518984    23.9180000     0.1062000     3371.703000
tic00350480660     8.9274822     0.0003144     3359.576888
tic00350480038    14.1197582     0.0000952     3446.495081
tic00350479496     4.1940031     0.0000646     3386.363155
tic00350479101    11.9168414     0.0000310     3390.369225
tic00350446852     1.9754720     0.0000280     3386.635804
tic00350444940     0.8935163     0.0000064     3386.338791
tic00350443851     0.6472525     0.0000094     3387.448905
tic00350443417     1.2167249     0.0000022     3386.326241
tic00350431335     0.5748000     0.0007000     3438.750000
tic00350345640     9.1193288     0.0000159     3395.030104
tic00350335635     4.7781527     0.0002157     3357.973271
tic00350335627     4.7777318     0.0001767     3355.600590
tic00350335402     6.0748603     0.0000295     3356.623149
tic00350335400     6.0749064     0.0000335     3356.621901
tic00350335398     6.0748823     0.0000327     3356.621917
tic00350335396     6.0749586     0.0001027     3356.604244
tic00350333744    17.4938000     0.1363000     3402.392000
tic00350298319    23.8300000     0.0491000     3358.040000
tic00350297040    10.8740509     0.0000063     3371.934812
tic00350183081    37.7673000   999.1063000     3401.031000
tic00350142657    66.5942000     0.0549000     3376.429000
tic00350139008    14.2725761     0.0002524     3387.612801
tic00350030951     1.2209942     0.0000156     3386.289655
tic00350030939     0.6104810     0.0000045     3386.288020
tic00349970685     1.2566799     0.0000047     3387.235513
tic00349969292     0.5484898     0.0000022     3386.190632
tic00349907708     5.1330185     0.0001397     3354.670153
tic00349907707     5.1331708     0.0001622     3354.649552
tic00349905506    19.4269465     0.0001160     3483.049658
tic00349835367     3.3408076     0.0000024     3355.770785
tic00349832824     1.0407306     0.0000007     3355.072215
tic00349831827     3.3406723     0.0001575     3355.806124
tic00349790953     1.5521038     0.0000142     3386.467508
tic00349766906     2.4314721     0.0000057     3386.546027
tic00349765587    12.7346482     0.0000245     3357.641890
tic00349763482    15.6180000     0.0163000     3440.505000
tic00349680450     2.2482293     0.0000046     3356.395209
tic00349676609    12.4434041     0.0000685     3388.713377
tic00349643889    26.6835000     0.1146000     3355.656000
tic00349641813     1.6077101     0.0000015     3386.671534
tic00349572806     2.7050335     0.0001202     3355.334795
tic00349572805     2.7051897     0.0000308     3358.045976
tic00349570590     0.9941294     0.0000062     3354.543434
tic00349523494    14.2731832     0.0000797     3356.653003
